SNo.,Date,LTP,%Change,High,Low,Open,Qty,Turnover
295,2017/09/24,441.00,0.46,443.00,439.00,440.00,"3,718","1,638,800.00"
296,2017/09/20,440.00,-0.9,443.00,435.00,441.00,"10,450","4,599,400.00"
297,2017/09/18,443.00,-0.89,452.00,443.00,450.00,"33,400","14,877,400.00"
298,2017/09/17,447.00,0,459.00,438.00,448.00,"49,764","22,001,400.00"
299,2017/09/14,447.00,6.43,447.00,419.00,420.00,"42,524","18,361,200.00"
300,2017/09/13,420.00,-0.24,423.00,418.00,420.00,"32,249","13,538,900.00"

201,2018/02/25,338.00,-0.59,342.00,335.00,342.00,"3,932","1,323,560.00"
202,2018/02/22,340.00,0,342.00,338.00,341.00,"4,099","1,394,160.00"
203,2018/02/21,340.00,0,341.00,339.00,341.00,"2,461","836,966.00"
204,2018/02/20,343.00,-2.86,351.00,340.00,350.00,"6,728","2,317,040.00"
205,2018/02/18,350.00,0,359.00,348.00,350.00,"11,904","4,191,852.00"
206,2018/02/15,350.00,2.94,350.00,341.00,341.00,"7,548","2,607,160.00"
207,2018/02/14,340.00,0,342.00,335.00,342.00,"4,167","1,408,440.00"
208,2018/02/12,340.00,-0.58,342.00,340.00,342.00,"3,785","1,289,920.00"
209,2018/02/11,342.00,0,343.00,341.00,342.00,"1,760","601,865.00"
210,2018/02/08,342.00,0,345.00,336.00,336.00,"3,523","1,208,070.00"
211,2018/02/07,342.00,-1.44,346.00,341.00,345.00,"5,012","1,715,420.00"
212,2018/02/06,347.00,1.46,347.00,340.00,344.00,"5,214","1,780,330.00"
213,2018/02/05,342.00,-2.29,350.00,342.00,350.00,"8,109","2,793,340.00"
214,2018/02/04,350.00,1.74,350.00,342.00,345.00,"8,959","3,116,420.00"
215,2018/02/01,344.00,0,345.00,343.00,344.00,"6,191","2,133,740.00"
216,2018/01/31,344.00,1.18,344.00,340.00,344.00,"4,790","1,636,890.00"
217,2018/01/29,341.00,-1.73,347.00,340.00,346.00,"8,266","2,828,720.00"
218,2018/01/28,416.00,-1.19,423.00,415.00,420.00,"49,337","20,640,200.00"
219,2018/01/25,420.00,0.24,420.00,417.00,418.00,"13,110","5,476,670.00"
220,2018/01/24,419.00,0.72,420.00,412.00,412.00,"14,131","5,896,930.00"
221,2018/01/23,416.00,-0.95,421.00,415.00,421.00,"15,725","6,564,120.00"
222,2018/01/22,420.00,0.24,422.00,418.00,420.00,"18,056","7,571,320.00"
